name,Wikipedia Link,location,status,security,security_class_cleaned,capacity,capacity_cleaned,pop,pop_cleaned,pop_measured_time,opened,year_opened,Notes Section,closed,managed_by,director,built,built by
Riverbend Correctional Facility,https://en.wikipedia.org/wiki/Riverbend_Correctional_Facility,"196 Laying Farm Road Milledgeville, Georgia",open,medium security,medium,1588,1588,1456,1456,May 2020,2011,2011,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,GEO Group,,,
Rogers State Prison,https://en.wikipedia.org/wiki/Rogers_State_Prison,"1978 Georgia Highway 147 Reidsville, Georgia",open,medium,medium,1391,1391,1331,1331,May 2020,1983; expanded 1989,1983,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Wheeler Correctional Facility,https://en.wikipedia.org/wiki/Wheeler_Correctional_Facility,"195 N Broad Street Alamo, Georgia",open,medium security,medium,3028,3028,2590,2590,May 2020,1998,1998,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Corrections Corporation of America,,,
Wilcox State Prison,https://en.wikipedia.org/wiki/Wilcox_State_Prison,"470 Broad Street South Abbeville, Georgia",open,medium security,medium,1827,1827,1804,1804,May 2020,1994,1994,http://www.gdc.ga.gov/sites/all/themes/gdc/pdf/Profile_all_inmates_2020_04.pdf,,Georgia Department of Corrections,,,
Idaho State Correctional Institution,https://en.wikipedia.org/wiki/Idaho_State_Correctional_Institution,"13500 S. Pleasant Valley Rd,near Kuna, Idaho",,medium,medium,1446,1446,1241,1241,May 2020,1973; 47 years ago[1],1973,"Ammie Mabe
Constituent Services Manager'
amabe@idoc.idaho.gov",,Idaho Department of Correction,,,
Centralia Correctional Center,https://en.wikipedia.org/wiki/Centralia_Correctional_Center,"9330 Shattuc Road Centralia, Illinois",medium,medium,medium,1572,1572,1265,1265,April 2020,1980,1980,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Danville Correctional Center,https://en.wikipedia.org/wiki/Danville_Correctional_Center,"3820 E Main Street Danville, Illinois",open,medium,medium,1864,1864,1646,1646,April 2020,1985,1985,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Dixon Correctional Center,https://en.wikipedia.org/wiki/Dixon_Correctional_Center,"2600 N Brinton Avenue Dixon, Illinois",open,medium,medium,2529,2529,1635,1635,April 2020,1983,1983,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Graham Correctional Center,https://en.wikipedia.org/wiki/Graham_Correctional_Center,"12078 Route 185 Hillsboro, Illinois",open,medium,medium,750,750,1435,1435,April 2020,1980,1980,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Hill Correctional Center,https://en.wikipedia.org/wiki/Hill_Correctional_Center,"600 S Linwood Road Galesburg, Illinois",open,medium,medium,1867,1867,1629,1629,April 2020,1986,1986,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Illinois River Correctional Center,https://en.wikipedia.org/wiki/Illinois_River_Correctional_Center,"1300 W Locust Street Canton, Illinois",medium,medium,medium,2094,2094,1595,1595,April 2020,1989,1989,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Pinckneyville Correctional Center,https://en.wikipedia.org/wiki/Pinckneyville_Correctional_Center,"5835 Illinois 154 Pinckneyville, Illinois",open,Secure medium,medium,2701,2701,1910,1910,April 2020,1998,1998,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Shawnee Correctional Center,https://en.wikipedia.org/wiki/Shawnee_Correctional_Center,"6665 IL-146 Vienna, Illinois",medium,medium,medium,2147,2147,1572,1572,April 2020,1984,1984,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Sheridan Correctional Center,https://en.wikipedia.org/wiki/Sheridan_Correctional_Center,"4017 E 2603rd Road Sheridan, Illinois",medium,medium,medium,2104,2104,1684,1684,April 2020,1941; reopened 2004,1941,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Western Illinois Correctional Center,https://en.wikipedia.org/wiki/Western_Illinois_Correctional_Center,"2500 IL-99 Mount Sterling, Illinois",STATUE,medium,medium,2173,2173,1619,1619,April 2020,April 1989,1989,https://www2.illinois.gov/idoc/reportsandstatistics/Documents/IDOC%20Quarterly%20Report_April%202020.pdf,,Illinois Department of Corrections,,,
Branchville Correctional Facility,https://en.wikipedia.org/wiki/Branchville_Correctional_Facility,"21390 Old State Road 37 Branchville, Indiana",open,medium security,medium,1455,1455,1437,1437,April 2020,1982,1982,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,Indiana Department of Correction,"Kathy Alvey, Superintendent",,
Correctional Industrial Facility,https://en.wikipedia.org/wiki/Correctional_Industrial_Facility,"5124 Reformatory Road Pendleton, Indiana",open,medium,medium,1416,1416,1464,1464,April 2020,1985,1985,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,Indiana Department of Corrections,,,
Plainfield Correctional Facility,https://en.wikipedia.org/wiki/Plainfield_Correctional_Facility,"Plainfield, Indiana",open,medium,medium,1658,1658,1501,1501,April 2020,1969,1969,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,Indiana Department of Corrections,,,
Putnamville Correctional Facility,https://en.wikipedia.org/wiki/Putnamville_Correctional_Facility,"Greencastle, Indiana",open,medium security,medium,2400,2400,2151,2151,April 2020,1914,1914,https://www.in.gov/idoc/files/Indiana%20Department%20of%20Correction%20April%202020%20Total%20Population%20Summary.pdf,,Indiana Department of Corrections,,,
Clarinda Correctional Facility,https://en.wikipedia.org/wiki/Clarinda_Correctional_Facility,"Clarinda, Iowa",open,medium security,medium,1000,750,945,945,May 2020,1980,1980,"changed the cap
https://doc.iowa.gov/daily-statistics",,Iowa Department of Corrections,,,
Fort Dodge Correctional Facility,https://en.wikipedia.org/wiki/Fort_Dodge_Correctional_Facility,"Fort Dodge, Iowa",,medium,medium,1250,1162,1115,1115,May 2020,1998,1998,https://doc.iowa.gov/daily-statistics,,Iowa Department of Corrections,,,
Iowa Medical and Classification Center,https://en.wikipedia.org/wiki/Iowa_Medical_and_Classification_Center,"2700 Coral Ridge Avenue Coralville, Iowa",open,medium,medium,900,900,939,939,2020,1969,1969,https://doc.iowa.gov/about-us/about-institutions/iowa-medical-and-classification-center,,Iowa Department of Corrections,,,
Eastern Kentucky Correctional Complex,https://en.wikipedia.org/wiki/Eastern_Kentucky_Correctional_Complex,,,Medium-security,medium,NA,,"2,100 (as of 2019)",2100,,February 1990,1990,,,,,,
"Federal Correctional Institution, Cumberland","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Cumberland","Allegany County,near Cumberland, Maryland",Operational,Medium-security (with minimum-security prison camp),medium,,,"1,179 (304 in prison camp)",1195,2020,1994,1994,https://www.bop.gov/locations/institutions/cum/index.jsp,,Federal Bureau of Prisons,,,
Maryland Correctional Institution - Hagerstown,https://en.wikipedia.org/wiki/Maryland_Correctional_Institution_-_Hagerstown,"18601 Roxbury Road Hagerstown, Maryland",open,medium,Medium,2179,2179,,,,1942,1942,,,Maryland Department of Public Safety and Correctional Services,,,
Maryland Correctional Institution - Jessup,https://en.wikipedia.org/wiki/Maryland_Correctional_Institution_-_Jessup,"7931 Brock Bridge Road Jessup, Maryland",open,medium,medium,1068,1068,,,,1981,1981,,,Maryland Department of Public Safety and Correctional Services,,,
Roxbury Correctional Institution,https://en.wikipedia.org/wiki/Roxbury_Correctional_Institution,"18701 Roxbury Road Hagerstown, Maryland",Operational,Level II Medium adult males,medium,,,,,,1983,1983,,,Maryland Department of Public Safety and Correctional Services,,,
Bridgewater State Hospital,https://en.wikipedia.org/wiki/Bridgewater_State_Hospital,"Bridgewater, Massachusetts",Operational,Level 4 (Medium),medium,229,227,,,,1855,1855,,,Massachusetts Department of Correction,"Superintendent Daniel Calis, Jr.",,
Lemuel Shattuck Hospital Correctional Unit,https://en.wikipedia.org/wiki/Lemuel_Shattuck_Hospital_Correctional_Unit,"Jamaica Plain, Massachusetts, United States",Operational,Medium,medium,24,24,25 (as of January 2016),25,,1974,1974,,,Massachusetts Department of Correction,Superintendent Michael Devine,,
Massachusetts Correctional Institution - Concord,https://en.wikipedia.org/wiki/Massachusetts_Correctional_Institution_%E2%80%93_Concord,"Concord, Massachusetts",Operational,Medium,medium,614,613,,,,May 1878,1878,,,Massachusetts Department of Correction,Superintendent Douglas Demoura,,
Massachusetts Correctional Institution - Norfolk,https://en.wikipedia.org/wiki/Massachusetts_Correctional_Institution_%E2%80%93_Norfolk,"Norfolk, Massachusetts",Operational,Medium,medium,1084,1084,"1,468Overcrowding rate: 134 %",1468,,1927,1927,,,Massachusetts Department of Correction,Superintendent Sean Medeiros,,
Massachusetts Treatment Center,https://en.wikipedia.org/wiki/Massachusetts_Treatment_Center,"30 Administration Road Bridgewater, Massachusetts",Operational,Medium,medium,561,561,,,,,,,,Massachusetts Department of Correction,Superintendent Steven J. O'Brien,,
North Central Correctional Institution,https://en.wikipedia.org/wiki/North_Central_Correctional_Institution,"Gardner, MA",,Medium/Minimum,medium,633,633,2268,2268,,1983,1983,,,Massachusetts Department of Correction,Superintendent Raymond Marchilli,,
Detroit Reentry Center,https://en.wikipedia.org/wiki/Detroit_Reentry_Center,,Open,Level II,medium,,,,,,1991,1991,,,Michigan Department of Corrections,,,
Lakeland Correctional Facility,https://en.wikipedia.org/wiki/Lakeland_Correctional_Facility,"141 1st Street Coldwater, Michigan",open,medium,medium,1466,1466,1327,1327,May 2020,1985,1985,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Muskegon Correctional Facility,https://en.wikipedia.org/wiki/Muskegon_Correctional_Facility,,Open,Level II,medium,1321,1321,1285,1285,May 2020,1974,1974,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Newberry Correctional Facility,https://en.wikipedia.org/wiki/Newberry_Correctional_Facility,"13747 E County Road 428 Newberry, Michigan",Open,Medium,medium,1108,1108,1053,1053,May 2020,1996,1996,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Richard A. Handlon Correctional Facility,https://en.wikipedia.org/wiki/Richard_A._Handlon_Correctional_Facility,,Open,Level II,medium,1297,1297,1187,1187,May 2020,1958,1958,"Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Thumb Correctional Facility,https://en.wikipedia.org/wiki/Thumb_Correctional_Facility,,Open,Level II,medium,1200,1206,921,921,May 2020,1987,1987,"Changed the cap
Jeff Anderson, Administrator
Office of Research & Planning
Andersonj30@michigan.gov",,Michigan Department of Corrections,,,
Moose Lake,https://en.wikipedia.org/wiki/Minnesota_Correctional_Facility_%E2%80%93_Willow_River/Moose_Lake,"Moose Lake, Minnesota",Operational,Medium,medium,NA,,"1,013[1] (as of November 19, 2010)",1058,January 2020,1988,1988,https://mn.gov/doc/assets/Adult%20Prison%20Population%20Summary%201-1-2020_tcm1089-418232.pdf,,Minnesota Department of Corrections,"Becky Dooley, Warden",,
Algoa Correctional Center,https://en.wikipedia.org/wiki/Algoa_Correctional_Center,"8501 No More Victims Road Jefferson City, Missouri",open,medium,medium,1635,1635,,,,1932,1932,,,Missouri Department of Corrections,,,
Lebanon Correctional Institution,https://en.wikipedia.org/wiki/Lebanon_Correctional_Institution,"3791 State Route 63 Lebanon, Ohio",open,,medium,2465,2465,,1877,2020,1960,1960,Couldn't confirm capacity. Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Noble Correctional Institution,https://en.wikipedia.org/wiki/Noble_Correctional_Institution,"15708 Mcconnellsville Road Caldwell, Ohio",mixed; most medium and minimum,,medium,2482,2482,,2462,2019,1996,1996,"Couldn't confirm capacity. Population as of 7.1.19 
https://drc.ohio.gov/nci",,Ohio Department of Rehabilitation and Correction,,,
Northeast Ohio Correctional Center,https://en.wikipedia.org/wiki/Northeast_Ohio_Correctional_Center,"2240 Hubbard Road, Youngstown, Ohio",operational,medium security,medium,2016,996,,917,2020,1997,1997,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,CoreCivic,,,
Warren Correctional Institution,https://en.wikipedia.org/wiki/Warren_Correctional_Institution,"5787 Ohio 63 Lebanon, Ohio",open,Close,medium,1328,1328,,1278,2020,1989,1989,Population according to their COVID update 5.22.2020 https://coronavirus.ohio.gov/static/reports/DRCCOVID-19Information.pdf,,Ohio Department of Rehabilitation and Correction,,,
Dick Conner Correctional Center,https://en.wikipedia.org/wiki/Dick_Conner_Correctional_Center,,Operational,Minimum and Medium,medium,1167,1167,"1,157 (as of April 10, 2017[1])",1177,2020,1979; 41 years ago,1979,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Great Plains Correctional Facility (Private Federal Prison),https://en.wikipedia.org/wiki/Great_Plains_Correctional_Institution,"700 Sugar Creek Drive Hinton, Oklahoma",open,medium,medium,1940,1940,,1662,2020,1991,1991,Population from 5.22.2020 according to https://www.bop.gov/locations/ci/gpc/,,GEO Group,,,
Joseph Harp Correctional Center,https://en.wikipedia.org/wiki/Joseph_Harp_Correctional_Center,,Operational,Medium,medium,1378,1318,"1,372 (as of April 10, 2017[1])",1274,2020,1978; 42 years ago,1978,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
Lawton Correctional Facility (Private Prison),https://en.wikipedia.org/wiki/Lawton_Correctional_Facility,"8607 SE Flower Mound Road Lawton, Oklahoma",medium / maximum,,medium,2682,2626,,2492,2020,1998,1998,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,GEO Group,,,
Oklahoma State Reformatory,https://en.wikipedia.org/wiki/Oklahoma_State_Reformatory,"Granite, Oklahoma",operational,Medium,medium,1050,999,,693,2020,1910,1910,"Capacity and population from 5.18.20 report: http://doc.ok.gov/Websites/doc/images/Documents/Population/Count%20Sheet/2020/DOC%20OMS%20Count%20-%20May%2018,%202020.pdf",,Oklahoma Department of Corrections,,,
"Deer Ridge Correctional Institution, Madras",https://en.wikipedia.org/wiki/Deer_Ridge_Correctional_Institution,"3920 E Ashwood Road Madras, Oregon",open,mixed,medium,1867,1228,,955,2020,September 2007,2007,Also includeds a 744 bed minimum security facility. Unclear if this is included in the report. Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,,,
"Eastern Oregon Correctional Institution, Pendleton",https://en.wikipedia.org/wiki/Eastern_Oregon_Correctional_Institution,"Pendleton, Oregon, U.S.A.45°40′17″N 118°49′02″W﻿ / ﻿45.6715°N 118.8171°W",Operational,Medium (male),medium,"1,600",1600,,1680,2020,1985,1985,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,,,
Oregon State Correctional Institution,https://en.wikipedia.org/wiki/Oregon_State_Correctional_Institution,"Salem, Oregon, United States44°53′49″N 122°56′56″W﻿ / ﻿44.897°N 122.949°WCoordinates: 44°53′49″N 122°56′56″W﻿ / ﻿44.897°N 122.949°W",Operational,Medium (male),medium,880,880,,903,2020,1959,1959,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,Oregon Department of Corrections,,,
"Snake River Correctional Institution, Ontario",https://en.wikipedia.org/wiki/Snake_River_Correctional_Institution,"Malheur County, Oregon,near Ontario",,Medium,medium,3050,3050,"2,940 (as of December 13, 2012[1])",2780,2020,1991,1991,Population from 5.1.2020 Report https://www.oregon.gov/doc/Documents/inmate-profile.pdf,,ODOC,,,
"Federal Correctional Institution, Allenwood Medium","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Allenwood_Medium","Brady Township, Lycoming County,near Montgomery, Pennsylvania",Operational,Medium-security,medium,,1400,1400,1185,2020,1992,1992,"Population from BOP site on 5.22.2020 
Could not find capacity. 
https://www.bop.gov/locations/institutions/alm/",,Federal Bureau of Prisons,,,
Motivational Bootcamp – Quehanna,https://en.wikipedia.org/wiki/Motivational_Bootcamp_%E2%80%93_Quehanna,"Karthaus Township, Clearfield County, Pennsylvania, Pennsylvania",,Minimum-Security,medium,,538,,387,2020,"June, 1992",1992,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Albion,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Albion,"Conneaut Township, Erie County, Pennsylvania",,"Medium-Security, Close-Security",medium,2152,2187,"2,274 (as of June 30, 2015)",2188,2020,1993,1993,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Benner Township,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Benner_Township,"Bellefonte, Pennsylvania 16823",,"Medium-Security, Close-Security",medium,1900,2055,"2,087 (as of June 30, 2015)",2018,2020,"April 15, 2013",2013,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Chester,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Chester,"Chester, Pennsylvania",,Medium-Security,medium,1178,1171,"1,260 (as of June 30, 2015)",946,2020,"April, 1998",1998,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Coal Township,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Coal_Township,"Coal Township, Northumberland County,near Shamokin, Pennsylvania, USA",,Medium-Security,medium,2153,2307,,2044,2020,"April 26, 1993",1993,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Dallas,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Dallas,"Jackson Township, Luzerne County,near, Dallas, Pennsylvania, USA",,,medium,,1985,,2019,2020,,1968,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Houtzdale,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Houtzdale,"Woodward Township, Clearfield County, Pennsylvania",,Medium-Security,medium,1587,2361,,2412,2020,1996,1996,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Mahanoy,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Mahanoy,"West Mahanoy Township, Schuylkill County, Pennsylvania",,Medium-Security,medium,1000,2286,,2254,2020,July. 1993,1993,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Mercer,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Mercer,"Findley Township, Mercer County, Pennsylvania, Pennsylvania",,Minimum-Security,medium,1087,1367,,1290,2020,,1978,"Changed from regional to state facility in 2008 and increased security from minimum to medium.

Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Retreat,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Retreat,"Newport Township, Luzerne County,near Glen Lyon, Pennsylvania",,Medium-Security,medium,1200,1095,,558,2020,1986,1986,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Rockview,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Rockview,"Benner Township, Centre County, Pennsylvania, USA",,,medium,,2265,,2040,2020,1915,1915,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Somerset,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Somerset,"Somerset Township / Brothersvalley Township, Somerset County, Pennsylvania",Open,Medium-Security,medium,"1,600",2188,,2270,2020,1993,1993,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
State Correctional Institution – Waymart,https://en.wikipedia.org/wiki/State_Correctional_Institution_%E2%80%93_Waymart,"Canaan Township, Wayne County, Pennsylvania",,Medium-Security,medium,"1,430","1,434","1,425[2]",1250,2020,1989,1989,"Capacity from 4.30.2020 report
https://www.cor.pa.gov/About%20Us/Statistics/Documents/Current%20Monthly%20Population.pdf

Population from daily population report 5.22.2020 https://www.cor.pa.gov/Pages/COVID-19.aspx#Temporary",,Pennsylvania Department of Corrections,,,
Allendale Correctional Institution,https://en.wikipedia.org/wiki/Allendale_Correctional_Institution,"1057 Revolutionary Trail Fairfax, South Carolina",open,medium,medium,1090,1104,,842,2020,1989,1989,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Evans Correctional Institution,https://en.wikipedia.org/wiki/Evans_Correctional_Institution,"610 Highway 9 West Bennettsville, South Carolina",open,medium,medium,1342,1388,,1196,2020,1989,1989,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
"Federal Correctional Institution, Bennettsville","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Bennettsville","Marlboro County,near Bennettsville, South Carolina",Operational,Medium-security (with minimum-security prison camp),medium,,1800,"1,688 (157 in camp)",1206,2020,,,"Additional 94 inmates in adjacent minimum security camp as of 5.22.2020 https://www.bop.gov/locations/institutions/ben/

Couldn't find year opened.",,Federal Bureau of Prisons,,,
Kershaw Correctional Institution,https://en.wikipedia.org/wiki/Kershaw_Correctional_Institution,"4848 Gold Mine Hwy Kershaw, South Carolina",open,medium,medium,1403,1370,,1218,2020,1997,1997,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Leath Correctional Institution,https://en.wikipedia.org/wiki/Leath_Correctional_Institution,"2809 Airport Road Greenwood, South Carolina",open,medium (female facility),medium,968,844,,495,2020,1991,1991,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Ridgeland Correctional Institution,https://en.wikipedia.org/wiki/Ridgeland_Correctional_Institution,"5 Correctional Road Ridgeland, South Carolina",open,medium,medium,1165,1131,,1024,2020,1995,1995,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Turbeville Correctional Institution,https://en.wikipedia.org/wiki/Turbeville_Correctional_Institution,"1578 Clarence Coker Hwy Turbeville, South Carolina",open,medium,medium,1472,1355,,898,2020,1994,1994,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Tyger River Correctional Institution,https://en.wikipedia.org/wiki/Tyger_River_Correctional_Institution,"200 Prison Road Enoree, South Carolina",medium,,medium,1160,1060,,966,2020,1980,1980,Capacity and population as of 5.22.2020 http://www.doc.sc.gov/research/SystemOverview/population-report.pdf,,South Carolina Department of Corrections,,,
Mike Durfee State Prison,https://en.wikipedia.org/wiki/Mike_Durfee_State_Prison,"Springfield, South Dakota",open,"Maximum, Medium",medium,1236,1236,,1232,2020,1984,1984,Population from 4.30.2020 https://doc.sd.gov/documents/AdultPopulationApril2020.pdf,,,,,
"Federal Correctional Institution, Memphis","https://en.wikipedia.org/wiki/Federal_Correctional_Institution,_Memphis","Memphis, Tennessee",Operational,Medium-security (with minimum-security prison camp),medium,,,"1,160 (330 in prison camp)",1074,2020,,1977,Additional 147 inmates at minimum security camp. Numbers from 5.22.20 https://www.bop.gov/locations/institutions/mem/,,Federal Bureau of Prisons,,,
Hardeman County Correctional Center,https://en.wikipedia.org/wiki/Hardeman_County_Correctional_Center,"2520 Union Springs RoadWhiteville, Tennessee",open,medium security,medium,1976,1976,,1945,2020,1997,1997,Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf,,CoreCivic,Warden Grady Perry,,
Northwest Correctional Complex - Tiptonville,https://en.wikipedia.org/wiki/Northwest_Correctional_Complex,"960 TN-212 Tiptonville, Tennessee",Open,Medium,medium,"2,377",2666,,2036,2020,,1981,"Capacity and Population from April 2020 https://www.tn.gov/content/dam/tn/correction/documents/BedApril2020.pdf

Site 2 opened 1992",,Tennessee Department of Correction,,,
